level,source,target,seasonal_index_corr,active_jaccard,sales_corr_春季,sales_ci_lower_春季,sales_ci_upper_春季,sales_p_春季,sales_corr_夏季,sales_ci_lower_夏季,sales_ci_upper_夏季,sales_p_夏季,sales_corr_秋季,sales_ci_lower_秋季,sales_ci_upper_秋季,sales_p_秋季,sales_corr_冬季,sales_ci_lower_冬季,sales_ci_upper_冬季,sales_p_冬季,sales_corr_全年,sales_ci_lower_全年,sales_ci_upper_全年,sales_p_全年,share_corr_春季,share_ci_lower_春季,share_ci_upper_春季,share_p_春季,share_corr_夏季,share_ci_lower_夏季,share_ci_upper_夏季,share_p_夏季,share_corr_秋季,share_ci_lower_秋季,share_ci_upper_秋季,share_p_秋季,share_corr_冬季,share_ci_lower_冬季,share_ci_upper_冬季,share_p_冬季,share_corr_全年,share_ci_lower_全年,share_ci_upper_全年,share_p_全年,sales_q_春季,share_q_春季,sales_q_夏季,share_q_夏季,sales_q_秋季,share_q_秋季,sales_q_冬季,share_q_冬季,sales_q_全年,share_q_全年,strength_label
category,水生根茎类,花叶类,0.6209243332,1,0.57387945,0.4893999136,0.6487511104,1.41820956e-25,0.3988516146,0.298976807,0.513119737,5.822485673e-12,0.6574558687,0.5320996634,0.7353440916,3.5776712e-35,0.6733021384,0.5939549398,0.7502675903,5.151184101e-37,0.585388822,0.5384289017,0.6378079534,1.069914471e-101,-0.4867641729,-0.5893500067,-0.3480040398,7.96180306e-18,-0.2552355132,-0.442069196,-0.002658833049,1.767909582e-05,-0.4626355185,-0.6405172731,-0.2114499868,1.001817527e-15,-0.2294364127,-0.3661467427,-0.07117626763,0.0001745211207,-0.4599537094,-0.5341145239,-0.3677441435,6.627152196e-58,3.039020486e-25,2.985676147e-17,7.93975319e-12,3.788377675e-05,1.7888356e-34,7.513631454e-15,1.287796025e-36,0.0003272271013,4.012179265e-101,2.485182074e-57,clear
category,水生根茎类,花菜类,0.66164107,0.999078341,0.4873440733,0.3879048944,0.5778634368,7.185334507e-18,0.2640533097,0.1191646704,0.3858635778,8.746986601e-06,0.5869396229,0.4766075201,0.6624692784,1.146183028e-26,0.5916224908,0.4786809964,0.6769022385,6.939649412e-27,0.4945305993,0.4289675984,0.5449380243,1.328148799e-68,-0.111183345,-0.3164608932,0.1140917576,0.06511671301,-0.09898089354,-0.2732792231,0.09827780555,0.1008050783,-0.2569963618,-0.4208563209,-0.09000002341,1.908675884e-05,0.1169597317,-0.04046480112,0.2239589267,0.0581932307,-0.0788743532,-0.1961267065,0.04843270383,0.009346192231,9.798183418e-18,0.07513466885,9.371771359e-06,0.1512076175,2.456106489e-26,7.157534566e-05,8.007287783e-27,0.07274153837,1.660185998e-68,0.01078406796,clear
category,水生根茎类,茄类,-0.4326764818,0.9677419355,0.4322144993,0.3430309246,0.5326032423,5.454094281e-14,0.222012243,0.1005974341,0.3622793045,0.0002007175438,0.3963807795,0.1720038732,0.5427697113,1.047626755e-11,0.5808531581,0.4807764795,0.6775994117,9.307498626e-26,0.4168132712,0.3581231775,0.5005164556,2.930479785e-47,-0.4382882664,-0.5848512133,-0.229915745,2.201741952e-14,-0.6041489134,-0.696266728,-0.4340133466,7.572026257e-29,0.1698378386,-0.05351801304,0.4244682869,0.00513994944,0.1227555264,-0.05953372209,0.2503833286,0.04672268285,-0.4634441352,-0.5605569631,-0.3574123577,7.157391609e-59,5.843672444e-14,5.50435488e-14,0.0002007175438,1.135803939e-27,1.122457238e-11,0.0085665824,9.972319956e-26,0.06371274934,3.139799769e-47,3.578695804e-58,clear
category,水生根茎类,辣椒类,0.4923273585,1,0.5079008576,0.4070921881,0.6041136562,1.662470654e-19,0.382007446,0.2697978869,0.5131867402,5.086915352e-11,0.5668630677,0.437623903,0.6456646671,1.311300221e-24,0.65987898,0.5830102019,0.7537575857,3.936120452e-35,0.5370974745,0.4851316611,0.5878100651,7.479351429e-83,0.1669833478,-0.05097436919,0.3437690333,0.005417536581,0.02137069962,-0.2120512291,0.212163981,0.7237392762,-0.2147564896,-0.4020671424,0.01698109594,0.0003794289586,-0.3871704008,-0.5112404606,-0.2358970257,7.801306821e-11,-0.2376172472,-0.3339396155,-0.128537915,2.159840707e-15,2.770784424e-19,0.007387549883,6.35864419e-11,0.7237392762,2.458687914e-24,0.0009485723965,8.434543826e-35,3.90065341e-10,1.121902714e-82,3.239761061e-15,clear
category,水生根茎类,食用菌,0.8406999659,1,0.6124924016,0.5166706515,0.6973409482,8.214048197e-30,0.4230122891,0.3412339705,0.5239366962,2.083414386e-13,0.5402598628,0.4341241433,0.6245469839,4.346043087e-22,0.7003594019,0.6259064333,0.7808693778,3.957643505e-41,0.5729836589,0.5238006016,0.6220975998,1.483469103e-96,0.208477048,-0.04238907316,0.4445110562,0.0004900359628,-0.07261026526,-0.266353046,0.1091938273,0.229206501,0.003154745302,-0.3023149871,0.2342513761,0.9588495064,0.05248190552,-0.07501546914,0.196764262,0.3966364188,0.2996837017,0.1658459944,0.404615826,5.940509611e-24,2.464214459e-29,0.0007350539442,4.464459398e-13,0.2644690396,6.51906463e-22,0.9807982732,1.484116314e-40,0.4249675916,3.178862363e-96,1.485127403e-23,clear
category,花叶类,花菜类,0.8281530832,0.999078341,0.4755358051,0.3634604789,0.5795985421,5.590407962e-17,0.504448852,0.3787947182,0.6144816984,3.185568683e-19,0.6391628478,0.5508853081,0.7219827386,9.421896362e-33,0.6498187749,0.5605512942,0.7274306492,8.794291418e-34,0.569104033,0.5190967454,0.6161288064,5.429036037e-95,0.0654608239,-0.09706039597,0.2192773846,0.2784783042,-0.1227528146,-0.3778214273,0.03393408357,0.04157190458,-0.1928918397,-0.3968790466,0.00440523261,0.001448576194,-0.2952803952,-0.4309350085,-0.1254272101,1.088264408e-06,-0.02731574313,-0.1356743243,0.06965536562,0.3687096118,6.988009952e-17,0.2983696116,1.194588256e-18,0.06928650764,2.826568908e-32,0.002716080363,1.465715236e-33,3.264793223e-06,1.017944257e-94,0.3687096118,clear
category,花叶类,茄类,0.1482863715,0.9677419355,0.6461967284,0.5454135642,0.7308372082,5.111002861e-34,0.4765702544,0.3671077683,0.5716773619,4.685500496e-17,0.5247340106,0.378409102,0.6415573505,1.020354764e-20,0.6419856806,0.5500701226,0.7326315682,9.116443659e-33,0.5741511468,0.5196929523,0.6275469264,4.973894402e-97,0.3103009375,0.1227025954,0.4462717901,1.423633008e-07,0.1240319059,-0.06728696117,0.2676005285,0.03947711616,0.001471565662,-0.1921692576,0.2695879414,0.9807982732,-0.3401380042,-0.4895286978,-0.1712294845,1.518353024e-08,0.2630651477,0.1468272524,0.3602334818,1.242040824e-18,2.55550143e-33,3.05064216e-07,1.405650149e-16,0.06928650764,1.39139286e-20,0.9807982732,1.243151408e-32,5.693823838e-08,1.2434736e-96,2.328826546e-18,clear
category,花叶类,辣椒类,0.3667891454,1,0.6297921876,0.5575542251,0.6902546357,6.611036933e-32,0.617090883,0.5068579159,0.721711227,2.347068012e-30,0.7369605605,0.6477881137,0.8052302199,5.25592913e-48,0.7511280465,0.6733805445,0.8178050384,2.991555813e-50,0.691998606,0.646981533,0.7314140858,7.188464384e-157,-0.5786156019,-0.6839916102,-0.3948619032,4.592183978e-26,-0.4957977198,-0.6125897981,-0.3487207702,1.574358734e-18,-0.02218747095,-0.320680425,0.2274589335,0.7166567499,-0.5221757968,-0.6527153773,-0.3407263022,8.45743494e-20,-0.3380695086,-0.4606415692,-0.2412975483,2.044470117e-30,2.47913885e-31,6.888275967e-25,3.520602018e-29,1.180769051e-17,7.883893694e-47,0.8958209374,2.24366686e-49,1.268615241e-18,1.078269658e-155,6.133410352e-30,clear
category,花叶类,食用菌,0.1527764177,1,0.6658818604,0.5821930598,0.7276564006,9.928431325e-37,0.6091466459,0.5331115502,0.6981235958,2.017511622e-29,0.6530872717,0.5273465676,0.721889797,1.402459623e-34,0.7908000427,0.7201201151,0.8487462566,4.487522571e-59,0.6884548194,0.6451122834,0.7315372384,1.192461058e-154,-0.4476448681,-0.5967181731,-0.2844249817,5.251522898e-15,-0.3674707838,-0.5171815169,-0.1658963265,2.99712105e-10,-0.6256970451,-0.746876267,-0.4487408017,9.546911592e-31,-0.08046667001,-0.3189566165,0.1098321435,0.1933116464,-0.5350984074,-0.6096791051,-0.4459292147,2.107965641e-81,1.489264699e-35,1.575456869e-14,1.513133716e-28,1.498560525e-09,5.259223587e-34,1.432036739e-29,6.731283857e-58,0.2230518996,8.943457937e-154,3.161948461e-80,clear
category,花菜类,茄类,0.1542152282,0.9668202765,0.3378374078,0.232952474,0.4528487494,8.548973438e-09,0.3345551576,0.2117732304,0.447940137,1.213272097e-08,0.3980163654,0.2585146312,0.5039534339,8.466649812e-12,0.564022525,0.4370274208,0.6898699828,4.462046607e-24,0.4148882052,0.3530432926,0.4869815027,8.479837467e-47,0.1119601604,-0.06897264687,0.3286015989,0.06325082684,-0.049178522,-0.2203905319,0.09763133254,0.4157598052,0.02772419944,-0.1952567105,0.2105003148,0.6501680687,0.2680941936,0.08166118407,0.4236170829,1.043262927e-05,0.08280417444,-0.019178018,0.1802914027,0.006351544318,8.548973438e-09,0.07513466885,1.399929343e-08,0.4454569342,9.769211321e-12,0.886592821,4.462046607e-24,2.608157318e-05,8.479837467e-47,0.007939430398,clear
