level,source,target,seasonal_index_corr,active_jaccard,sales_corr_春季,sales_ci_lower_春季,sales_ci_upper_春季,sales_p_春季,sales_corr_夏季,sales_ci_lower_夏季,sales_ci_upper_夏季,sales_p_夏季,sales_corr_秋季,sales_ci_lower_秋季,sales_ci_upper_秋季,sales_p_秋季,sales_corr_冬季,sales_ci_lower_冬季,sales_ci_upper_冬季,sales_p_冬季,sales_corr_全年,sales_ci_lower_全年,sales_ci_upper_全年,sales_p_全年,share_corr_春季,share_ci_lower_春季,share_ci_upper_春季,share_p_春季,share_corr_夏季,share_ci_lower_夏季,share_ci_upper_夏季,share_p_夏季,share_corr_秋季,share_ci_lower_秋季,share_ci_upper_秋季,share_p_秋季,share_corr_冬季,share_ci_lower_冬季,share_ci_upper_冬季,share_p_冬季,share_corr_全年,share_ci_lower_全年,share_ci_upper_全年,share_p_全年,sales_q_春季,share_q_春季,sales_q_夏季,share_q_夏季,sales_q_秋季,share_q_秋季,sales_q_冬季,share_q_冬季,sales_q_全年,share_q_全年,strength_label
cluster,cluster_4,cluster_2,0.3328157736,0.6631823461,-0.1487728708,-0.1487728708,-0.1487728708,0.01335471208,-0.2208467953,-0.2208467953,-0.2208467953,0.0002172229284,0.3252469207,0.3252469207,0.3252469207,3.807544686e-08,0.3313572482,0.3313572482,0.3313572482,2.434863926e-08,0.1145534263,-0.001340155002,0.2217347074,0.000145372107,-0.4280556007,-0.4280556007,-0.4280556007,1.004542524e-13,0.04818680091,0.04818680091,0.04818680091,0.4252365431,0.3385723641,0.3385723641,0.3385723641,9.532486812e-09,0.1695613913,0.1695613913,0.1695613913,0.005213976794,0.2151172206,0.04950789358,0.3494102871,6.261670936e-13,0.03338678021,5.02271262e-13,0.0007240764281,0.4252365431,1.903772343e-07,3.177495604e-08,6.087159814e-08,0.01303494198,0.000242286845,8.945244194e-13,retained
cluster,cluster_4,cluster_1,-0.6180655053,0.5861751152,0.02083355414,0.02083355414,0.02083355414,0.7304104569,-0.02021691473,-0.02021691473,-0.02021691473,0.7380939844,0.1352486816,0.1352486816,0.1352486816,0.02543712123,0.6000607542,0.6000607542,0.6000607542,8.471208884e-28,0.2168641363,0.1320498161,0.3087947536,4.031184288e-13,-0.4160627901,-0.4160627901,-0.4160627901,5.581592027e-13,0.248159043,0.248159043,0.248159043,3.053749792e-05,-0.1411646387,-0.1411646387,-0.1411646387,0.01962626409,-0.003424640309,-0.003424640309,-0.003424640309,0.9553325116,-0.3795570138,-0.4976055885,-0.263595885,7.58972481e-39,0.7304104569,1.630256382e-12,0.8554906158,4.362499702e-05,0.04239520204,0.03925252818,8.471208884e-27,0.9553325116,1.343728096e-12,1.897431203e-38,weak
cluster,cluster_4,cluster_0,-0.5789298434,0.1105626851,0.02672545993,0.02672545993,0.02672545993,0.6584453525,0.07134539914,0.07134539914,0.07134539914,0.2374416589,-0.04894499134,-0.04894499134,-0.04894499134,0.4205449461,0.06818026618,0.06818026618,0.06818026618,0.2642432714,0.02147918605,-0.0475604309,0.08946711332,0.4776835345,-0.380166044,-0.380166044,-0.380166044,6.399551019e-11,0.06402727706,0.06402727706,0.06402727706,0.2891621543,-0.6081277992,-0.6081277992,-0.6081277992,5.319850492e-29,0.1302344927,0.1302344927,0.1302344927,0.03242260377,-0.6439830219,-0.7075424053,-0.5638357231,2.752522149e-129,0.7304104569,1.066591836e-10,0.396879828,0.3212912825,0.4672721624,2.659925246e-28,0.3303040892,0.04631800539,0.4776835345,1.376261075e-128,retained
cluster,cluster_4,cluster_3,-0.0564820374,0.519558676,0.03514351457,0.03514351457,0.03514351457,0.5609858732,-0.0601278535,-0.0601278535,-0.0601278535,0.3195970976,-0.008790998783,-0.008790998783,-0.008790998783,0.8850366011,0.3281562553,0.3281562553,0.3281562553,3.375087447e-08,0.08421100905,-0.002227010776,0.1736342221,0.005297241993,0.4118586956,0.4118586956,0.4118586956,1.002118652e-12,-0.3074863248,-0.3074863248,-0.3074863248,1.868386524e-07,0.02335130727,0.02335130727,0.02335130727,0.7008976899,-0.139114179,-0.139114179,-0.139114179,0.02223072661,0.1672101041,0.04304097033,0.309678658,2.606168712e-08,0.7012323416,2.004237303e-12,0.4565672823,3.113977541e-07,0.8850366011,0.7627011202,6.750174895e-08,0.03705121101,0.007567488562,3.257710891e-08,retained
cluster,cluster_2,cluster_1,-0.5362004927,0.733640553,0.4700263135,0.4700263135,0.4700263135,1.417565312e-16,0.1827508818,0.1827508818,0.1827508818,0.002303575777,0.1551665356,0.1551665356,0.1551665356,0.01024118547,0.3817298454,0.3817298454,0.3817298454,8.537537183e-11,0.3097271358,0.2262909651,0.3842909657,8.955287414e-26,0.005688453572,0.005688453572,0.005688453572,0.9250491435,0.1842534542,0.1842534542,0.1842534542,0.002115545432,-0.05539020545,-0.05539020545,-0.05539020545,0.361928136,-0.06242595913,-0.06242595913,-0.06242595913,0.3067803073,-0.1239067128,-0.2372554622,0.01212590321,3.933695032e-05,1.417565312e-15,0.9250491435,0.005758939442,0.002644431789,0.02048237094,0.4524101701,2.845845728e-10,0.3834753841,4.477643707e-25,3.933695032e-05,clear
cluster,cluster_2,cluster_0,-0.5757945192,0.2238095238,-0.05103631867,-0.05103631867,-0.05103631867,0.3983445412,0.01493030143,0.01493030143,0.01493030143,0.8049632962,0.083333482,0.083333482,0.083333482,0.1697627576,0.04393779174,0.04393779174,0.04393779174,0.4721598449,0.02356097361,-0.03851388767,0.09758846119,0.4360570456,0.02242984878,0.02242984878,0.02242984878,0.7106463659,0.5196215847,0.5196215847,0.5196215847,1.727907215e-20,-0.283188342,-0.283188342,-0.283188342,1.981824152e-06,0.2094552247,0.2094552247,0.2094552247,0.0005317359966,-0.2944052522,-0.4099678189,-0.1589408145,2.462607931e-23,0.7012323416,0.7896070732,0.8554906158,5.759690716e-20,0.212203447,4.95456038e-06,0.4995280349,0.001772453322,0.4776835345,4.925215862e-23,retained
cluster,cluster_2,cluster_3,-0.5644328192,0.6028708134,0.1671468173,0.1671468173,0.1671468173,0.005371628171,0.07124140022,0.07124140022,0.07124140022,0.2381278968,0.1027082307,0.1027082307,0.1027082307,0.09031968845,0.2311878413,0.2311878413,0.2311878413,0.000126467957,0.1455773055,0.06150172381,0.2295394057,1.314442629e-06,-0.4149510252,-0.4149510252,-0.4149510252,6.521025529e-13,-0.4073696738,-0.4073696738,-0.4073696738,1.855292841e-12,-0.105592598,-0.105592598,-0.105592598,0.08158852026,0.02044812104,0.02044812104,0.02044812104,0.7380226422,-0.1277032639,-0.2464960377,0.03049865314,2.251798589e-05,0.01790542724,1.630256382e-12,0.396879828,3.710585681e-12,0.1290281264,0.1359808671,0.0002107799284,0.820025158,3.286106573e-06,2.501998433e-05,retained
cluster,cluster_1,cluster_0,0.8050105962,0.4506912442,0.04404759716,0.04404759716,0.04404759716,0.4661201362,0.3337899977,0.3337899977,0.3337899977,1.315672037e-08,0.1627303459,0.1627303459,0.1627303459,0.007051709128,-0.1377125407,-0.1377125407,-0.1377125407,0.02362689363,0.124451905,0.0583609669,0.1906783658,3.634398722e-05,0.3649652053,0.3649652053,0.3649652053,4.033049589e-10,0.5135224608,0.5135224608,0.5135224608,5.674121866e-20,0.06883083365,0.06883083365,0.06883083365,0.2570469806,-0.2254018684,-0.2254018684,-0.2254018684,0.00018792315,0.4153001969,0.2981673889,0.5300343267,6.759019251e-47,0.7012323416,5.041311986e-10,1.315672037e-07,1.418530466e-19,0.01762927282,0.3672099723,0.03375270518,0.00093961575,7.268797445e-05,2.253006417e-46,retained
cluster,cluster_1,cluster_3,0.1850911947,0.8101382488,0.3823467346,0.3823467346,0.3823467346,4.875476205e-11,0.2895641867,0.2895641867,0.2895641867,9.879850348e-07,0.5494644092,0.5494644092,0.5494644092,6.186032608e-23,0.5063884393,0.5063884393,0.5063884393,5.44033227e-19,0.4492826312,0.3608209586,0.5273453793,1.645105593e-55,-0.855694965,-0.855694965,-0.855694965,2.273746592e-80,-0.9521519501,-0.9521519501,-0.9521519501,4.421475697e-143,-0.8890323493,-0.8890323493,-0.8890323493,6.169719743e-94,-0.8014673334,-0.8014673334,-0.8014673334,8.833073976e-62,-0.8495743901,-0.893680538,-0.7951267059,6.520342241e-306,2.437738103e-10,2.273746592e-79,4.939925174e-06,4.421475697e-142,6.186032608e-22,6.169719743e-93,2.720166135e-18,8.833073976e-61,1.645105593e-54,6.520342241e-305,clear
cluster,cluster_0,cluster_3,-0.1665395535,0.3902439024,-0.03759123061,-0.03759123061,-0.03759123061,0.5340089648,0.01101182184,0.01101182184,0.01101182184,0.8554906158,0.1786353025,0.1786353025,0.1786353025,0.003057903905,-0.04126729503,-0.04126729503,-0.04126729503,0.4995280349,0.04075127511,-0.02505410251,0.1010691266,0.1778156412,-0.3761696625,-0.3761696625,-0.3761696625,1.048046272e-10,-0.6803226981,-0.6803226981,-0.6803226981,7.455243514e-39,0.01835666502,0.01835666502,0.01835666502,0.7627011202,0.1473794034,0.1473794034,0.1473794034,0.01536308663,-0.2566610203,-0.3983544051,-0.1030543031,6.224124035e-18,0.7012323416,1.49720896e-10,0.8554906158,3.727621757e-38,0.01019301302,0.7627011202,0.4995280349,0.03072617326,0.2222695515,1.037354006e-17,retained
