level,item_code,item_name,n_days,zero_share,mean_qty_kg,median_qty_kg,std_qty_kg,skewness,distribution,n_positive,parameter_1,parameter_2,parameter_3,log_likelihood,aic,ks_statistic,ks_p_value
category,水生根茎类,水生根茎类,1095,0.009132420091,37.08452237,30.047,31.41233458,2.481904817,Normal,1085,37.42631521,31.35342162,,-5277.724202,10559.4484,0.1252144515,2.75341032e-15
category,水生根茎类,水生根茎类,1095,0.009132420091,37.08452237,30.047,31.41233458,2.481904817,Lognormal,1085,0.8825825515,26.76172802,0,-4970.394103,9944.788205,0.06814054601,7.977536254e-05
category,水生根茎类,水生根茎类,1095,0.009132420091,37.08452237,30.047,31.41233458,2.481904817,Gamma,1085,1.637571667,22.85476475,0,-4946.3608,9896.7216,0.02516915402,0.4898411338
category,水生根茎类,水生根茎类,1095,0.009132420091,37.08452237,30.047,31.41233458,2.481904817,Weibull,1085,1.294990775,40.66755543,0,-4958.848022,9921.696045,0.0265003002,0.4239278096
category,花叶类,花叶类,1095,0.009132420091,181.4242493,172.11,87.61331103,2.709422327,Normal,1085,183.0963622,86.25938717,,-6375.782701,12755.5654,0.07501214418,9.351691301e-06
category,花叶类,花叶类,1095,0.009132420091,181.4242493,172.11,87.61331103,2.709422327,Lognormal,1085,0.4508035744,166.008762,0,-6221.667256,12447.33451,0.0440789386,0.02862652048
category,花叶类,花叶类,1095,0.009132420091,181.4242493,172.11,87.61331103,2.709422327,Gamma,1085,5.264494673,34.77947526,0,-6219.296094,12442.59219,0.03016499467,0.2714400907
category,花叶类,花叶类,1095,0.009132420091,181.4242493,172.11,87.61331103,2.709422327,Weibull,1085,2.169247379,206.2078389,0,-6301.732559,12607.46512,0.06422029659,0.0002471003512
category,花菜类,花菜类,1095,0.0100456621,38.16417991,33.858,22.88678148,1.470771606,Normal,1084,38.5514548,22.67576058,,-4921.614817,9847.229635,0.09182039771,2.103168385e-08
category,花菜类,花菜类,1095,0.0100456621,38.16417991,33.858,22.88678148,1.470771606,Lognormal,1084,0.6381938545,32.32224449,0,-4819.009821,9642.019642,0.05876014321,0.001074550039
category,花菜类,花菜类,1095,0.0100456621,38.16417991,33.858,22.88678148,1.470771606,Gamma,1084,2.993356322,12.87900626,0,-4771.528554,9547.057107,0.02854378512,0.3338947829
category,花菜类,花菜类,1095,0.0100456621,38.16417991,33.858,22.88678148,1.470771606,Weibull,1084,1.801069028,43.47659435,0,-4792.72532,9589.45064,0.04543108921,0.02208161208
category,茄类,茄类,1095,0.04109589041,20.49508584,18.27,13.56385241,1.553793241,Normal,1050,21.37344667,13.15633951,,-4195.634381,8395.268763,0.09770031633,3.551528232e-09
category,茄类,茄类,1095,0.04109589041,20.49508584,18.27,13.56385241,1.553793241,Lognormal,1050,0.6597680678,17.6974378,0,-4070.316061,8144.632123,0.04760305215,0.01659415942
category,茄类,茄类,1095,0.04109589041,20.49508584,18.27,13.56385241,1.553793241,Gamma,1050,2.804826277,7.620239029,0,-4027.411483,8058.822966,0.02443421012,0.5492887018
category,茄类,茄类,1095,0.04109589041,20.49508584,18.27,13.56385241,1.553793241,Weibull,1050,1.728631864,24.06142394,0,-4049.960902,8103.921803,0.04592523367,0.02310298719
category,辣椒类,辣椒类,1095,0.009132420091,83.69416621,72.537,53.79589249,3.056928635,Normal,1085,84.46554101,53.43703071,,-5856.22511,11716.45022,0.1370501277,3.082760601e-18
category,辣椒类,辣椒类,1095,0.009132420091,83.69416621,72.537,53.79589249,3.056928635,Lognormal,1085,0.5364282605,72.8092652,0,-5516.095847,11036.19169,0.02482150171,0.5078315079
category,辣椒类,辣椒类,1095,0.009132420091,83.69416621,72.537,53.79589249,3.056928635,Gamma,1085,3.524955608,23.96215738,0,-5559.414347,11122.82869,0.06152260191,0.0005174146924
category,辣椒类,辣椒类,1095,0.009132420091,83.69416621,72.537,53.79589249,3.056928635,Weibull,1085,1.74035459,95.41538493,0,-5646.709079,11297.41816,0.08626353658,1.790119951e-07
category,食用菌,食用菌,1095,0.009132420091,69.52669041,57.276,48.73605247,2.933734633,Normal,1085,70.1674894,48.49877137,,-5751.017543,11506.03509,0.1158628249,3.808260782e-13
category,食用菌,食用菌,1095,0.009132420091,69.52669041,57.276,48.73605247,2.933734633,Lognormal,1085,0.612265727,58.27791044,0,-5418.026449,10840.0529,0.02450426117,0.5244929579
category,食用菌,食用菌,1095,0.009132420091,69.52669041,57.276,48.73605247,2.933734633,Gamma,1085,2.848783244,24.63068735,0,-5445.357163,10894.71433,0.05169463201,0.005842669186
category,食用菌,食用菌,1095,0.009132420091,69.52669041,57.276,48.73605247,2.933734633,Weibull,1085,1.612065755,78.9027598,0,-5507.623895,11019.24779,0.0844805419,3.476831503e-07
