level,item_code,item_name,n_days,zero_share,mean_qty_kg,median_qty_kg,std_qty_kg,skewness,best_distribution,best_aic,delta_aic_second,best_ks_p_value,fit_conclusion
category,水生根茎类,水生根茎类,1095,0.009132420091,37.08452237,30.047,31.41233458,2.481904817,Gamma,9896.7216,24.97444525,0.4898411338,parametric_accepted
category,花叶类,花叶类,1095,0.009132420091,181.4242493,172.11,87.61331103,2.709422327,Gamma,12442.59219,4.742324505,0.2714400907,parametric_accepted
category,花菜类,花菜类,1095,0.0100456621,38.16417991,33.858,22.88678148,1.470771606,Gamma,9547.057107,42.39353222,0.3338947829,parametric_accepted
category,茄类,茄类,1095,0.04109589041,20.49508584,18.27,13.56385241,1.553793241,Gamma,8058.822966,45.09883784,0.5492887018,parametric_accepted
category,辣椒类,辣椒类,1095,0.009132420091,83.69416621,72.537,53.79589249,3.056928635,Lognormal,11036.19169,86.63699942,0.5078315079,parametric_accepted
category,食用菌,食用菌,1095,0.009132420091,69.52669041,57.276,48.73605247,2.933734633,Lognormal,10840.0529,54.66142915,0.5244929579,parametric_accepted
sku,102900005116899,净藕(1),1088,0.02849264706,24.96917188,21.824,20.37654594,1.364399986,Weibull,8905.35522,10.71474185,0.02721581085,kde_fallback
sku,102900005118824,高瓜(1),1095,0.503196347,1.077585388,0,1.5766833,2.030836266,Gamma,1807.219166,12.82914799,0.1300088391,parametric_accepted
sku,102900011001691,菱角,1055,0.9004739336,0.1198312796,0,0.4702974595,5.459130932,Lognormal,228.9035727,3.097306092,0.8199438583,parametric_accepted
sku,102900011007969,红莲藕带,1058,0.9092627599,0.09517013233,0,0.3999359464,6.149946685,Lognormal,183.6038568,3.81253494,0.8128943002,parametric_accepted
sku,102900011009277,荸荠,803,0.7347447073,2.08220797,0,5.410642684,4.833292387,Gamma,1300.761834,2.328042226,0.9146158908,parametric_accepted
sku,102900011010891,野藕(1),1015,0.8384236453,0.4431073892,0,1.279436278,3.528251775,Gamma,629.8733228,1.581858991,0.7496288943,parametric_accepted
sku,102900011021842,洪湖莲藕(粉藕),856,0.5408878505,7.078271028,0,13.54879361,4.144130283,Lognormal,2900.151452,18.61361615,0.01376629732,kde_fallback
sku,102900051000944,洪湖藕带,1095,0.7643835616,0.6808712329,0,1.626966303,3.009636215,Gamma,1028.100408,3.669065521,0.286212593,parametric_accepted
sku,102900005115168,牛首生菜,943,0.8918345705,0.9542279958,0,3.191826284,4.014964341,Gamma,602.5207191,0.1726144182,0.4675579378,parametric_accepted
sku,102900005115199,四川红香椿,894,0.8310961969,0.3730257271,0,1.222938849,5.586543373,Lognormal,525.0662071,8.000890122,0.2622153706,parametric_accepted
sku,102900005115748,白菜苔,844,0.8909952607,0.8515118483,0,3.080654335,4.391239857,Weibull,554.8605957,1.29023097,0.987618837,parametric_accepted
sku,102900005115762,苋菜,1095,0.4200913242,4.659961644,2.63,5.648836491,1.403570477,Weibull,3755.74952,11.98688299,0.02278906403,kde_fallback
sku,102900005115779,云南生菜,1094,0.2595978062,14.54791773,12.3335,14.119063,1.034425835,Weibull,6274.367493,32.55689793,0.3928634313,parametric_accepted
sku,102900005115786,竹叶菜,1095,0.3908675799,6.618226484,2.455,8.428337698,1.586622109,Weibull,4469.399489,9.56636053,0.03157373267,kde_fallback
sku,102900005115793,小白菜,965,0.5046632124,1.771153368,0,2.502933915,1.354392827,Weibull,2101.93013,9.131073679,0.02433429008,kde_fallback
sku,102900005115823,上海青,1095,0.1607305936,6.948297717,5.101,7.003497151,1.838178658,Gamma,5587.336296,14.27161527,0.003567536863,kde_fallback
sku,102900005115854,萝卜叶,766,0.7859007833,0.5421997389,0,1.392848723,3.477275823,Lognormal,608.0784006,0.8009948399,0.8208913661,parametric_accepted
sku,102900005115878,茼蒿,963,0.466251298,4.271281412,1.996,5.54797867,1.773862024,Gamma,2986.568199,16.59717697,0.5042584577,parametric_accepted
sku,102900005115885,蔡甸藜蒿,988,0.6933198381,0.9526194332,0,2.051393753,3.234792018,Lognormal,1253.474362,3.313865603,0.3704502975,parametric_accepted
sku,102900005115908,菜心,1093,0.3494967978,4.115414456,2.581,5.635102432,3.014648227,Gamma,3979.735591,10.71212369,0.3450309375,parametric_accepted
sku,102900005115946,木耳菜,1095,0.6155251142,1.431474886,0,2.294335911,1.899116577,Gamma,1770.538707,11.78635584,0.5663142083,parametric_accepted
sku,102900005115960,大白菜,1095,0.5616438356,17.53067945,0,32.50772474,2.966493752,Lognormal,4432.999175,35.50325897,0.05129344116,parametric_accepted
sku,102900005115984,云南油麦菜,1092,0.2838827839,9.440548535,6.3805,10.99494143,1.806649276,Gamma,5518.696062,11.77696937,0.7846621643,parametric_accepted
sku,102900005116790,黄心菜(1),1019,0.5613346418,2.864059863,0,5.812357395,5.72745346,Lognormal,2473.184881,45.47768272,0.07756866469,parametric_accepted
sku,102900005118817,菠菜,1095,0.3333333333,4.765651142,3.796,5.738139897,2.603245419,Lognormal,4131.025944,0.05425123754,0.005001038643,kde_fallback
sku,102900005118831,娃娃菜,1095,0.3716894977,8.221004566,5,16.49227069,13.98402945,Lognormal,4741.236901,114.3108392,0.0006106395114,kde_fallback
sku,102900005119975,红薯尖,1095,0.4821917808,4.713451142,0.732,7.280751462,2.552815827,Gamma,3589.609013,10.01952327,0.05552224348,parametric_accepted
sku,102900005122654,枝江红菜苔,867,0.5570934256,5.724286044,0,11.26012271,3.367836665,Lognormal,2718.638673,12.43563071,0.7040432972,parametric_accepted
sku,102900011000571,随州泡泡青,808,0.8242574257,0.8356695545,0,2.547162206,5.134776579,Lognormal,713.9958128,1.56564566,0.2921810604,parametric_accepted
sku,102900011006948,外地茼蒿,1092,0.7536630037,0.6708928571,0,1.503491716,2.749342991,Gamma,1023.338551,0.3628503027,0.1669228307,parametric_accepted
sku,102900011008164,奶白菜,1041,0.2680115274,5.589784822,5.262,5.346075476,1.315388806,Weibull,4371.191613,3.096530136,1.430147191e-06,kde_fallback
sku,102900011008522,甜白菜,1092,0.6886446886,4.294382784,0,8.922409616,2.86336225,Gamma,2435.979966,1.715353656,0.5340224149,parametric_accepted
sku,102900051010455,黄白菜(2),1095,0.1744292237,7.300167123,4.616,10.0857239,6.579789313,Lognormal,5721.92494,16.63099997,0.05033282442,parametric_accepted
sku,102900005116714,西兰花,1095,0.01735159817,25.16524658,21.696,15.98753523,1.876905764,Gamma,8577.721259,40.78882646,0.007603802494,kde_fallback
sku,102900011009970,青梗散花,1095,0.5945205479,7.66609589,0,11.99828633,2.073908904,Weibull,3370.851631,20.82609228,3.362448387e-05,kde_fallback
sku,102900005116257,紫茄子(2),1095,0.06666666667,12.42828858,10.895,9.365218706,2.585099636,Gamma,6923.829677,60.71708889,0.03860507111,kde_fallback
sku,102900005116509,青茄子(1),1095,0.2283105023,3.213708676,1.927,4.121070696,2.435101178,Lognormal,4015.348306,60.05457838,0.6150672534,parametric_accepted
sku,102900011022764,长线茄,882,0.485260771,2.831663265,0.6925,4.2441336,3.018026891,Gamma,2385.145695,13.22518057,0.8464895771,parametric_accepted
sku,102900051000463,圆茄子(2),1038,0.5173410405,1.009334297,0,1.855872164,3.778609147,Lognormal,1623.906634,80.03925128,0.03625056128,kde_fallback
sku,102900005116219,红尖椒,1066,0.7054409006,0.4123517824,0,0.8956874534,3.195222637,Gamma,801.1833078,8.014934876,0.6567410459,parametric_accepted
sku,102900005116226,青尖椒,1034,0.4032882012,1.148383946,0.602,1.450375403,1.787688473,Gamma,1938.737068,3.889345102,0.6571554256,parametric_accepted
sku,102900005116233,红椒(1),1089,0.3067033976,3.177000918,1.976,8.206560832,9.540334066,Lognormal,3433.084955,360.2619096,0.0007849125849,kde_fallback
sku,102900005116943,红杭椒,1088,0.4595588235,0.6058465074,0.2015,1.089754449,7.596823614,Lognormal,1241.557876,12.0473377,0.01508206502,kde_fallback
sku,102900005117209,七彩椒(1),1094,0.7404021938,0.2405776965,0,0.8233477027,11.09101226,Lognormal,438.2026377,79.61323473,0.1209354418,parametric_accepted
sku,102900005119968,青杭椒(2),980,0.9081632653,0.131122449,0,0.5300733058,5.404155791,Gamma,236.6103629,0.3516350383,0.8491409822,parametric_accepted
sku,102900005123880,灯笼椒(1),1061,0.7954759661,0.1998520264,0,0.5582204151,4.713938918,Lognormal,371.4438326,19.28198569,0.6231897889,parametric_accepted
sku,102900005125808,小米椒,1036,0.4353281853,1.397283784,0.8865,2.107825177,5.093232373,Gamma,2129.741474,27.79933567,5.196008697e-05,kde_fallback
sku,102900011000328,螺丝椒,1094,0.2157221207,7.125136197,5.498,7.53159357,2.27824251,Gamma,5333.234065,23.75877416,0.2043474392,parametric_accepted
sku,102900011001219,红灯笼椒(1),1086,0.7495395948,0.2565488029,0,0.6286023294,4.21468771,Lognormal,496.1625791,17.56518215,0.5677443246,parametric_accepted
sku,102900011016701,芜湖青椒(1),1022,0.1604696673,27.57508904,24.7965,24.37568914,3.007566642,Gamma,7307.575458,69.00422441,0.00340338328,kde_fallback
sku,102900051004294,青线椒,1095,0.3178082192,2.027717808,1.64,2.395142177,3.846847381,Gamma,2900.321707,25.58503709,0.2698982696,parametric_accepted
sku,102900005115250,西峡花菇(1),1016,0.7076771654,2.769404528,0,7.46239521,8.004234872,Gamma,1919.390985,8.101254511,0.001302199239,kde_fallback
sku,102900005116530,西峡香菇(1),1078,0.2384044527,11.06595547,9.044,11.59024636,1.832264268,Weibull,5925.108194,1.65706798,1.779892612e-08,kde_fallback
sku,102900005116547,金针菇(1),1095,0.5908675799,4.292146119,0,6.891305888,3.082472065,Gamma,2798.844031,42.29533283,0.007399542521,kde_fallback
sku,102900005116837,平菇,1089,0.6675849403,2.335619835,0,4.352155406,2.554657107,Weibull,2060.184607,1.161041737,0.3267040213,parametric_accepted
sku,102900005116912,姬菇(1),800,0.615,0.4690275,0,0.6984184807,1.418940193,Weibull,533.2459909,9.137403013,0.1984449636,parametric_accepted
sku,102900005119944,海鲜菇(1),874,0.6270022883,0.5749473684,0,0.8963150379,1.615062745,Weibull,751.0469987,1.189121559,0.08834407082,parametric_accepted
sku,102900005125815,杏鲍菇(1),1095,0.5872146119,2.196619178,0,3.650723861,2.769541857,Gamma,2280.33644,1.260925811,0.001243400254,kde_fallback
sku,102900011001806,姬菇(包),914,0.6072210066,1.173960613,0,1.975600693,2.307504135,Lognormal,1357.04093,25.49185672,8.113229617e-11,kde_fallback
sku,102900011001813,金针菇(袋)(1),888,0.8614864865,2.421171171,0,13.14277462,13.44904087,Lognormal,916.9717763,29.32802605,0.525126056,parametric_accepted
sku,102900011007044,银耳(朵),943,0.8504772004,0.3054082715,0,0.8989462535,3.837664027,Lognormal,399.2584968,19.93491997,1.356738096e-11,kde_fallback
sku,102900011009246,鲜木耳(1),840,0.7,0.2525845238,0,0.506767858,3.13754034,Lognormal,318.0807593,10.69958162,0.143211883,parametric_accepted
sku,102900011012994,杏鲍菇(袋),919,0.6441784548,1.461371055,0,4.949184507,14.74363222,Lognormal,1430.88672,133.3485898,2.652352648e-07,kde_fallback
sku,102900011013274,白玉菇(袋),1058,0.3402646503,2.766540643,2,3.731455158,3.825624447,Lognormal,3188.52074,78.06183341,3.262747386e-10,kde_fallback
