alpha,edge_count,log_likelihood,ebic,converged,error
0.0154338584,782,-31839.24306,74985.01255,False,
0.01763159219,761,-31885.62122,74782.18714,False,
0.0201422765,730,-31939.37641,74453.3626,False,
0.0230104745,704,-32000.8912,74210.43387,True,
0.02628709505,674,-32071.25899,73928.90985,False,
0.03003029624,646,-32151.26237,73694.80764,True,
0.03430651774,607,-32240.18519,73323.7158,True,
0.03919165997,579,-32339.31268,73127.86181,True,
0.04477243138,536,-32448.00335,72740.00439,True,
0.05114788741,507,-32565.54746,72566.90833,True,
0.05843118871,482,-32695.66651,72475.26345,True,
0.06675160962,447,-32836.71731,72264.72883,True,
0.0762568328,423,-32989.59113,72232.6688,True,
0.08711557041,400,-33154.87997,72239.51412,True,
0.09952055874,377,-33338.9644,72283.95062,True,
0.1136919791,343,-33542.45357,72212.36807,True,
0.129881366,323,-33763.17106,72372.29665,True,
0.1483760717,297,-34020.60502,72521.20626,True,
0.1695043663,263,-34305.30071,72612.03674,True,
0.1936412648,234,-34635.62553,72864.50211,True,
0.2212151833,210,-35035.49961,73326.4426,True,
0.2527155425,176,-35517.06469,73811.01186,True,
0.2887014558,137,-36096.74955,74421.44411,True,
0.329811652,93,-36702.42788,75013.4867,True,
0.3767758132,65,-37260.74216,75736.00629,True,
0.430427526,42,-37722.98419,76336.75798,True,
0.4917190772,30,-38133.23498,76988.35573,True,
0.561738356,22,-38564.40997,77738.10315,True,
0.641728164,11,-38920.33436,78295.12342,True,
0.7331082738,2,-39101.81037,78531.39755,True,
