sku_code,cluster_id,sku_name,cluster_name,peak_month
102900005115168,3,牛首生菜,春季型,3
102900005115199,3,四川红香椿,春季型,3
102900005115250,3,西峡花菇(1),春季型,3
102900005115748,3,白菜苔,春季型,3
102900005115762,0,苋菜,初夏型,6
102900005115779,2,云南生菜,常年型,10
102900005115786,0,竹叶菜,初夏型,6
102900005115793,4,小白菜,夏秋型,9
102900005115823,2,上海青,常年型,10
102900005115854,3,萝卜叶,春季型,3
102900005115878,1,茼蒿,冬季型,12
102900005115885,3,蔡甸藜蒿,春季型,3
102900005115908,2,菜心,常年型,10
102900005115946,0,木耳菜,初夏型,6
102900005115960,4,大白菜,夏秋型,9
102900005115984,2,云南油麦菜,常年型,10
102900005116219,0,红尖椒,初夏型,6
102900005116226,2,青尖椒,常年型,10
102900005116233,2,红椒(1),常年型,10
102900005116257,2,紫茄子(2),常年型,10
102900005116509,2,青茄子(1),常年型,10
102900005116530,2,西峡香菇(1),常年型,10
102900005116547,4,金针菇(1),夏秋型,9
102900005116714,2,西兰花,常年型,10
102900005116790,4,黄心菜(1),夏秋型,9
102900005116837,1,平菇,冬季型,12
102900005116899,2,净藕(1),常年型,10
102900005116912,4,姬菇(1),夏秋型,9
102900005116943,2,红杭椒,常年型,10
102900005117209,4,七彩椒(1),夏秋型,9
102900005118817,2,菠菜,常年型,10
102900005118824,0,高瓜(1),初夏型,6
102900005118831,2,娃娃菜,常年型,10
102900005119944,4,海鲜菇(1),夏秋型,9
102900005119968,4,青杭椒(2),夏秋型,9
102900005119975,0,红薯尖,初夏型,6
102900005122654,1,枝江红菜苔,冬季型,12
102900005123880,4,灯笼椒(1),夏秋型,9
102900005125808,2,小米椒,常年型,10
102900005125815,4,杏鲍菇(1),夏秋型,9
102900011000328,2,螺丝椒,常年型,10
102900011000571,3,随州泡泡青,春季型,3
102900011001219,4,红灯笼椒(1),夏秋型,9
102900011001691,0,菱角,初夏型,6
102900011001806,4,姬菇(包),夏秋型,9
102900011001813,4,金针菇(袋)(1),夏秋型,9
102900011006948,0,外地茼蒿,初夏型,6
102900011007044,1,银耳(朵),冬季型,12
102900011007969,0,红莲藕带,初夏型,6
102900011008164,2,奶白菜,常年型,10
102900011008522,4,甜白菜,夏秋型,9
102900011009246,4,鲜木耳(1),夏秋型,9
102900011009277,1,荸荠,冬季型,12
102900011009970,4,青梗散花,夏秋型,9
102900011010891,3,野藕(1),春季型,3
102900011012994,1,杏鲍菇(袋),冬季型,12
102900011013274,2,白玉菇(袋),常年型,10
102900011016701,2,芜湖青椒(1),常年型,10
102900011021842,1,洪湖莲藕(粉藕),冬季型,12
102900011022764,0,长线茄,初夏型,6
102900051000463,4,圆茄子(2),夏秋型,9
102900051000944,0,洪湖藕带,初夏型,6
102900051004294,2,青线椒,常年型,10
102900051010455,2,黄白菜(2),常年型,10
