sku_code,peak_month,peak_month_index,peak_season,season_concentration
102900005115168,5,4.57235168,春季,30.82571127
102900005115199,3,6.011731614,春季,9.770357287e+11
102900005115250,2,3.362286586,冬季,5.922603962
102900005115748,3,8.201189324,春季,7.76014246e+11
102900005115762,4,2.575930788,春季,25.3610607
102900005115779,7,2.215789312,夏季,4.121758393
102900005115786,6,2.953457876,夏季,24.01140723
102900005115793,7,2.867772368,夏季,12.94100344
102900005115823,8,1.9075016,夏季,2.189122198
102900005115854,4,2.813294626,春季,4.751562158e+11
102900005115878,11,2.732027502,秋季,4.860780279e+11
102900005115885,3,3.103462818,春季,5.313581233e+11
102900005115908,7,2.125382476,夏季,3.311284132
102900005115946,7,2.556923753,夏季,256.384736
102900005115960,12,2.274225588,冬季,3.947036237
102900005115984,8,1.945890948,夏季,3.928880487
102900005116219,6,2.394563636,夏季,16.92080107
102900005116226,8,1.826643978,夏季,3.552246915
102900005116233,2,2.793211209,冬季,5.584189889
102900005116257,5,1.515960078,春季,2.198026852
102900005116509,7,2.526108508,夏季,3.580444084
102900005116530,12,1.902384679,冬季,4.455173179
102900005116547,7,1.710155092,夏季,7.121687736
102900005116714,8,1.292379364,夏季,1.550382122
102900005116790,10,2.214946201,秋季,1.656799232
102900005116837,12,2.869738447,冬季,304.3420671
102900005116899,10,1.777278607,秋季,3.059569636
102900005116912,8,3.195290641,夏季,23.34228628
102900005116943,2,2.31072078,冬季,5.011671156
102900005117209,1,3.708832311,冬季,20.3232912
102900005118817,1,1.794728609,冬季,3.656941494
102900005118824,6,3.066186545,夏季,77.01543978
102900005118831,1,1.695095733,冬季,2.05030066
102900005119944,8,2.864947729,夏季,7.632452024
102900005119968,8,5.155519068,夏季,27.57248706
102900005119975,7,3.224433774,夏季,755.4491168
102900005122654,1,4.717900835,冬季,8.593641242e+11
102900005123880,1,2.201199264,冬季,7.404449806
102900005125808,2,1.794008503,冬季,5.595472636
102900005125815,8,2.83523719,夏季,6.328307348
102900011000328,5,1.900959239,春季,3.923547785
102900011000571,11,3.286267309,秋季,2.089071597
102900011001219,1,2.411482117,冬季,3.518810681
102900011001691,6,3.928806204,夏季,9.548748571e+11
102900011001806,8,1.835468986,夏季,14.21061855
102900011001813,11,5.060606985,秋季,131.2916666
102900011006948,8,2.145848313,夏季,4.505503958
102900011007044,2,3.00238514,冬季,46.91073232
102900011007969,6,6.002660143,夏季,6.106140575e+11
102900011008164,6,1.715154444,夏季,1.656244555
102900011008522,8,4.128830394,夏季,5.164846189e+11
102900011009246,2,1.992543377,冬季,4.801729686
102900011009277,1,5.102970183,冬季,9.771669579e+11
102900011009970,7,1.719000038,夏季,4.951598664
102900011010891,4,2.820207088,春季,4.121801991
102900011012994,10,3.050226691,秋季,9.553973827
102900011013274,2,1.69214941,冬季,1.15667186
102900011016701,2,1.418116914,冬季,2.047897893
102900011021842,1,3.355972318,冬季,222.2023108
102900011022764,8,2.392113699,夏季,6.492536649
102900051000463,9,2.623570687,秋季,3.02247257
102900051000944,6,4.637918598,夏季,8.842440024e+11
102900051004294,1,1.640211511,冬季,3.330210618
102900051010455,8,3.118018409,夏季,7.368286807
