date,sku_code,sku_name,category_name,sales_qty_kg,log_sales,trend,seasonal_7,seasonal_365,residual
2020-09-12,102900011016701,芜湖青椒(1),辣椒类,13.668,2.68566825,2.102393487,-3.02847375e-07,0.5864628332,-0.003187767376
2020-09-13,102900011016701,芜湖青椒(1),辣椒类,0,0,2.103594331,-1.446487477e-07,-2.100444828,-0.003149358094
2020-09-14,102900011016701,芜湖青椒(1),辣椒类,0,0,2.104795141,-1.669912172e-08,-2.101684107,-0.003111017464
2020-09-15,102900011016701,芜湖青椒(1),辣椒类,0,0,2.105995917,7.657874806e-08,-2.102923248,-0.003072746007
2020-09-16,102900011016701,芜湖青椒(1),辣椒类,0,0,2.107196659,1.271524963e-07,-2.104162242,-0.003034544236
2020-09-17,102900011016701,芜湖青椒(1),辣椒类,0,0,2.108397368,1.250178768e-07,-2.10540108,-0.002996412651
2020-09-18,102900011016701,芜湖青椒(1),辣椒类,0,0,2.109598042,7.080709064e-08,-2.106639761,-0.002958351741
2020-09-19,102900011016701,芜湖青椒(1),辣椒类,0,0,2.110798681,-2.282714645e-07,-2.107878091,-0.002920361984
2020-09-20,102900011016701,芜湖青椒(1),辣椒类,0,0,2.111999286,-1.093009924e-07,-2.109116733,-0.002882443848
2020-09-21,102900011016701,芜湖青椒(1),辣椒类,0,0,2.113199856,-1.469097056e-08,-2.110355244,-0.002844597791
2020-09-22,102900011016701,芜湖青椒(1),辣椒类,0,0,2.114400392,5.352865803e-08,-2.111593621,-0.002806824258
2020-09-23,102900011016701,芜湖青椒(1),辣椒类,0,0,2.115600893,9.117862112e-08,-2.11283186,-0.002769123686
2020-09-24,102900011016701,芜湖青椒(1),辣椒类,0,0,2.116801358,9.160999872e-08,-2.114069953,-0.0027314965
2020-09-25,102900011016701,芜湖青椒(1),辣椒类,0,0,2.118001789,5.431611184e-08,-2.1153079,-0.002693943115
2020-09-26,102900011016701,芜湖青椒(1),辣椒类,0,0,2.119202184,-1.576285033e-07,-2.116545563,-0.002656463938
2020-09-27,102900011016701,芜湖青椒(1),辣椒类,0,0,2.120402545,-7.507037744e-08,-2.11778341,-0.002619059362
2020-09-28,102900011016701,芜湖青椒(1),辣椒类,0,0,2.121602869,-1.243147001e-08,-2.119021127,-0.002581729774
2020-09-29,102900011016701,芜湖青椒(1),辣椒类,0,0,2.122803159,3.089692813e-08,-2.120258714,-0.002544475547
2020-09-30,102900011016701,芜湖青椒(1),辣椒类,0,0,2.124003412,5.533496906e-08,-2.121496171,-0.002507297049
2020-10-01,102900011016701,芜湖青椒(1),辣椒类,0,0,2.12520363,5.84143138e-08,-2.122733494,-0.002470194635
2020-10-02,102900011016701,芜湖青椒(1),辣椒类,0,0,2.126403813,3.890272839e-08,-2.123970683,-0.00243316865
2020-10-03,102900011016701,芜湖青椒(1),辣椒类,0,0,2.127603959,-8.773396278e-08,-2.125207652,-0.002396219433
2020-10-04,102900011016701,芜湖青椒(1),辣椒类,0,0,2.12880407,-4.025404903e-08,-2.126444683,-0.002359347309
2020-10-05,102900011016701,芜湖青椒(1),辣椒类,0,0,2.130004145,-9.383195315e-09,-2.127681583,-0.002322552598
2020-10-06,102900011016701,芜湖青椒(1),辣椒类,0,0,2.131204184,8.363693625e-09,-2.128918357,-0.002285835608
2020-10-07,102900011016701,芜湖青椒(1),辣椒类,0,0,2.132404187,1.883845688e-08,-2.130155009,-0.002249196638
2020-10-08,102900011016701,芜湖青椒(1),辣椒类,0,0,2.133604153,2.4719097e-08,-2.131391542,-0.002212635979
2020-10-09,102900011016701,芜湖青椒(1),辣椒类,0,0,2.134804084,2.458483771e-08,-2.132627955,-0.002176153913
2020-10-10,102900011016701,芜湖青椒(1),辣椒类,0,0,2.136003978,-1.873827524e-08,-2.133864209,-0.002139750712
2020-10-11,102900011016701,芜湖青椒(1),辣椒类,0,0,2.137203837,-3.93525149e-09,-2.135100406,-0.002103426641
2020-10-12,102900011016701,芜湖青椒(1),辣椒类,0,0,2.138403659,-3.521171774e-09,-2.136336473,-0.002067181954
2020-10-13,102900011016701,芜湖青椒(1),辣椒类,0,0,2.139603444,-1.098766499e-08,-2.137572417,-0.002031016898
2020-10-14,102900011016701,芜湖青椒(1),辣椒类,0,0,2.140803194,-1.432829881e-08,-2.138808248,-0.001994931712
2020-10-15,102900011016701,芜湖青椒(1),辣椒类,0,0,2.142002907,-4.847944297e-09,-2.140043975,-0.001958926624
2020-10-16,102900011016701,芜湖青椒(1),辣椒类,0,0,2.143202583,1.631185351e-08,-2.141279598,-0.001923001856
2020-10-17,102900011016701,芜湖青椒(1),辣椒类,0,0,2.144402224,2.419578733e-08,-2.14251509,-0.001887157621
2020-10-18,102900011016701,芜湖青椒(1),辣椒类,0,0,2.145601828,2.09417631e-08,-2.143750454,-0.001851394123
2020-10-19,102900011016701,芜湖青椒(1),辣椒类,0,0,2.146801395,-2.23018942e-10,-2.144985683,-0.001815711559
2020-10-20,102900011016701,芜湖青椒(1),辣椒类,0,0,2.148000926,-2.944886322e-08,-2.146220786,-0.001780110118
2020-10-21,102900011016701,芜湖青椒(1),辣椒类,0,0,2.14920042,-4.725913968e-08,-2.147455783,-0.00174458998
2020-10-22,102900011016701,芜湖青椒(1),辣椒类,0,0,2.150399879,-3.707287256e-08,-2.14869069,-0.001709151317
2020-10-23,102900011016701,芜湖青椒(1),辣椒类,0,0,2.1515993,2.276571855e-09,-2.149925508,-0.001673794296
2020-10-24,102900011016701,芜湖青椒(1),辣椒类,0,0,2.152798685,5.160539265e-08,-2.151160218,-0.001638519071
2020-10-25,102900011016701,芜湖青椒(1),辣椒类,0,0,2.153998034,7.749284432e-08,-2.152394786,-0.001603325794
2020-10-26,102900011016701,芜湖青椒(1),辣椒类,0,0,2.155197346,5.288991706e-08,-2.153629185,-0.001568214606
2020-10-27,102900011016701,芜湖青椒(1),辣椒类,0,0,2.156396622,-1.969245572e-08,-2.154863417,-0.001533185642
2020-10-28,102900011016701,芜湖青椒(1),辣椒类,0,0,2.157595861,-1.025586717e-07,-2.15609752,-0.001498239028
2020-10-29,102900011016701,芜湖青椒(1),辣椒类,0,0,2.158795064,-1.380547328e-07,-2.157331551,-0.001463374885
2020-10-30,102900011016701,芜湖青椒(1),辣椒类,0,0,2.159994231,-7.864016792e-08,-2.158565559,-0.001428593324
2020-10-31,102900011016701,芜湖青椒(1),辣椒类,0,0,2.161193361,7.174384384e-08,-2.159799538,-0.001393894451
2020-11-01,102900011016701,芜湖青椒(1),辣椒类,0,0,2.162392455,2.332030229e-07,-2.16103341,-0.001359278365
2020-11-02,102900011016701,芜湖青椒(1),辣椒类,0,0,2.163591512,2.859973761e-07,-2.162267053,-0.001324745157
2020-11-03,102900011016701,芜湖青椒(1),辣椒类,0,0,2.164790533,1.486441534e-07,-2.163500387,-0.00129029491
2020-11-04,102900011016701,芜湖青椒(1),辣椒类,0,0,2.165989518,-1.487574362e-07,-2.164733442,-0.001255927703
2020-11-05,102900011016701,芜湖青椒(1),辣椒类,0,0,2.167188467,-4.347032772e-07,-2.165966388,-0.001221643606
2020-11-06,102900011016701,芜湖青椒(1),辣椒类,0,0,2.168387379,-4.580737921e-07,-2.167199478,-0.001187442683
2020-11-07,102900011016701,芜湖青椒(1),辣椒类,0,0,2.169586255,-7.535631984e-08,-2.168432855,-0.001153324991
2020-11-08,102900011016701,芜湖青椒(1),辣椒类,0,0,2.170785095,5.649407897e-07,-2.169666369,-0.001119290582
