alpha,edge_count,log_likelihood,ebic,converged,error
0.01107805332,14,-8710.417618,17610.97469,True,
0.01265553392,14,-8710.794535,17611.72853,True,
0.01445764289,14,-8711.280678,17612.70081,True,
0.01651636661,14,-8711.907836,17613.95513,True,
0.01886824623,14,-8712.714076,17615.56761,True,
0.02155502626,13,-8713.749294,17607.05602,True,
0.02462439547,13,-8715.034058,17609.62555,True,
0.02813083337,13,-8716.677909,17612.91325,True,
0.03213657722,13,-8718.777272,17617.11197,True,
0.03671272662,13,-8721.452342,17622.46211,True,
0.04194050557,13,-8724.85396,17629.26535,True,
0.04791270411,13,-8729.169037,17637.8955,True,
0.05473532529,13,-8734.62941,17648.81625,True,
0.06252946666,12,-8740.878519,17650.73244,True,
0.07143346971,12,-8748.37569,17665.72678,True,
0.08160537531,11,-8757.779378,17673.95213,True,
0.09322572887,10,-8766.261968,17680.33528,True,
0.1065007849,10,-8777.1101,17702.03154,True,
0.1216661679,10,-8791.096011,17730.00337,True,
0.1389910547,10,-8809.164709,17766.14076,True,
0.1587829519,10,-8832.593203,17812.99775,True,
0.1813931542,9,-8861.654624,17860.53856,True,
0.2072229794,8,-8896.18577,17919.01883,True,
0.2367308921,5,-8929.709428,17954.32006,True,
0.2704406404,5,-8968.622923,18032.14705,True,
0.3089505528,5,-9019.148622,18133.19845,True,
0.352944158,4,-9081.252803,18246.82478,True,
0.4032023166,3,-9152.388098,18378.51334,True,
0.460617082,3,-9235.878887,18545.49492,True,
0.5262075327,1,-9303.312481,18659.19805,True,
