source_code,target_code,spearman_raw,spearman_residual,mic_approx,mic_candidate,partial_corr,graphical_lasso_edge,bootstrap_active_rate,bootstrap_same_sign_rate,final_stable_edge,source_item_code,source_item_name,source_category_name,target_item_code,target_item_name,target_category_name
水生根茎类,花叶类,0.4541116448,0.2325840908,0.463728919,False,0.05208038613,True,0.805,0.755,False,水生根茎类,水生根茎类,水生根茎类,花叶类,花叶类,花叶类
水生根茎类,花菜类,0.4124134718,0.1107334422,0.5027708257,False,0.02182265878,True,0.75,0.61,False,水生根茎类,水生根茎类,水生根茎类,花菜类,花菜类,花菜类
水生根茎类,茄类,-0.1782730821,-0.1125252466,0.4883669681,False,0,False,0.775,0,False,水生根茎类,水生根茎类,水生根茎类,茄类,茄类,茄类
水生根茎类,辣椒类,0.3519455647,0.2039749224,0.4880167739,False,0.09584812514,True,0.925,0.925,False,水生根茎类,水生根茎类,水生根茎类,辣椒类,辣椒类,辣椒类
水生根茎类,食用菌,0.6160600887,0.1761003424,0.4491550582,False,0.09148827068,True,0.93,0.91,False,水生根茎类,水生根茎类,水生根茎类,食用菌,食用菌,食用菌
花叶类,花菜类,0.6433966634,0.3911719888,0.4952163669,False,0.1410910569,True,0.995,0.995,False,花叶类,花叶类,花叶类,花菜类,花菜类,花菜类
花叶类,茄类,0.271710868,-0.1462433738,0.4838662356,False,-0.126014227,True,0.955,0.955,False,花叶类,花叶类,花叶类,茄类,茄类,茄类
花叶类,辣椒类,0.6060341297,0.541211016,0.454150456,False,0.3004046255,True,1,1,False,花叶类,花叶类,花叶类,辣椒类,辣椒类,辣椒类
花叶类,食用菌,0.6071889662,0.5852224924,0.5652807903,False,0.4369135559,True,1,1,False,花叶类,花叶类,花叶类,食用菌,食用菌,食用菌
花菜类,茄类,0.2137824296,-0.05187758189,0.4751671666,False,-0,False,0.725,0,False,花菜类,花菜类,花菜类,茄类,茄类,茄类
花菜类,辣椒类,0.4451744599,0.5152984702,0.6625462868,True,0.3310812268,True,1,1,True,花菜类,花菜类,花菜类,辣椒类,辣椒类,辣椒类
花菜类,食用菌,0.4770072798,0.2917997323,0.6184948264,True,0.05619119328,True,0.81,0.755,True,花菜类,花菜类,花菜类,食用菌,食用菌,食用菌
茄类,辣椒类,0.1273396414,-0.04137151184,0.5833246139,False,0.04968750733,True,0.82,0.725,False,茄类,茄类,茄类,辣椒类,辣椒类,辣椒类
茄类,食用菌,-0.08539705322,0.08091462335,0.5126800395,False,0.1821572782,True,0.995,0.995,False,茄类,茄类,茄类,食用菌,食用菌,食用菌
辣椒类,食用菌,0.5474109705,0.3711414782,0.5540573811,False,0.0693714926,True,0.885,0.87,False,辣椒类,辣椒类,辣椒类,食用菌,食用菌,食用菌
