sku_code,sku_name,category_name,record_days,first_date,last_date,sales_days,total_qty_kg,span_days,coverage,included,selection_reason
102900005116042,藕,水生根茎类,6,2022-04-25,2022-07-23,0,0,90,0.06666666667,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900005116899,净藕(1),水生根茎类,1078,2020-07-08,2023-06-30,1057,27166.459,1088,0.9908088235,True,included
102900005118824,高瓜(1),水生根茎类,679,2020-07-01,2023-06-30,544,1179.956,1095,0.6200913242,True,included
102900011001561,莲蓬(个),水生根茎类,106,2020-07-23,2022-11-24,86,2095,855,0.1239766082,False,sales_days<180;coverage<0.35
102900011001691,菱角,水生根茎类,115,2020-08-10,2023-06-30,105,126.422,1055,0.1090047393,False,sales_days<180;coverage<0.35;total_qty<200
102900011007969,红莲藕带,水生根茎类,102,2020-08-07,2023-06-30,96,100.69,1058,0.09640831758,False,sales_days<180;coverage<0.35;total_qty<200
102900011009277,荸荠,水生根茎类,255,2020-12-02,2023-02-12,213,1672.013,803,0.3175591532,False,coverage<0.35
102900011010891,野藕(1),水生根茎类,179,2020-08-27,2023-06-07,164,449.754,1015,0.1763546798,False,sales_days<180;coverage<0.35
102900011018132,野生粉藕,水生根茎类,26,2020-11-11,2023-06-30,23,50.815,962,0.02702702703,False,sales_days<180;coverage<0.35;total_qty<200
102900011021842,洪湖莲藕(粉藕),水生根茎类,594,2020-12-18,2023-04-22,393,6059,856,0.6939252336,True,included
102900011023976,净藕(2),水生根茎类,11,2023-02-05,2023-06-02,8,62.221,118,0.09322033898,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011024010,鲜藕带(袋),水生根茎类,8,2021-05-09,2021-05-21,7,21,13,0.6153846154,False,span<730;sales_days<180;total_qty<200
102900011032114,荸荠(份),水生根茎类,6,2022-02-13,2022-02-19,6,10,7,0.8571428571,False,span<730;sales_days<180;total_qty<200
102900011032732,高瓜(2),水生根茎类,161,2022-03-15,2023-06-30,159,449.856,473,0.3403805497,False,span<730;sales_days<180;coverage<0.35
102900011034569,洪湖莲藕(脆藕),水生根茎类,12,2022-07-21,2022-09-23,12,40,65,0.1846153846,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011035511,净藕(3),水生根茎类,76,2022-09-10,2023-02-04,70,348.8,148,0.5135135135,False,span<730;sales_days<180
102900011035962,野藕(2),水生根茎类,6,2022-11-16,2022-11-21,6,11.398,6,1,False,span<730;sales_days<180;total_qty<200
102900051000944,洪湖藕带,水生根茎类,289,2020-07-01,2023-06-30,258,745.554,1095,0.2639269406,False,coverage<0.35
102900051006229,藕尖,水生根茎类,3,2021-12-18,2022-01-11,3,18.614,25,0.12,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900005115168,牛首生菜,花叶类,120,2020-10-30,2023-05-30,102,899.837,943,0.1272534464,False,sales_days<180;coverage<0.35
102900005115199,四川红香椿,花叶类,165,2020-11-11,2023-04-23,151,333.485,894,0.1845637584,False,sales_days<180;coverage<0.35
102900005115625,本地小毛白菜,花叶类,51,2022-09-28,2022-12-19,47,121.02,83,0.6144578313,False,span<730;sales_days<180;total_qty<200
102900005115748,白菜苔,花叶类,97,2020-11-23,2023-03-16,92,718.676,844,0.11492891,False,sales_days<180;coverage<0.35
102900005115762,苋菜,花叶类,652,2020-07-01,2023-06-30,635,5102.658,1095,0.59543379,True,included
102900005115779,云南生菜,花叶类,829,2020-07-01,2023-06-29,810,15915.422,1094,0.7577696527,True,included
102900005115786,竹叶菜,花叶类,679,2020-07-01,2023-06-30,667,7246.958,1095,0.6200913242,True,included
102900005115793,小白菜,花叶类,516,2020-07-01,2023-02-20,478,1709.163,965,0.5347150259,True,included
102900005115816,南瓜尖,花叶类,4,2020-07-08,2021-07-12,4,18.428,370,0.01081081081,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900005115823,上海青,花叶类,929,2020-07-01,2023-06-30,919,7608.386,1095,0.8484018265,True,included
102900005115854,萝卜叶,花叶类,171,2020-10-15,2022-11-19,164,415.325,766,0.2232375979,False,sales_days<180;coverage<0.35
102900005115861,牛首油菜,花叶类,291,2020-07-10,2022-03-01,285,3840.204,600,0.485,False,span<730
102900005115878,茼蒿,花叶类,525,2020-09-16,2023-05-06,514,4113.244,963,0.5451713396,True,included
102900005115885,蔡甸藜蒿,花叶类,321,2020-08-09,2023-04-23,303,941.188,988,0.3248987854,False,coverage<0.35
102900005115908,菜心,花叶类,751,2020-07-01,2023-06-28,711,4498.148,1093,0.6870997255,True,included
102900005115946,木耳菜,花叶类,430,2020-07-01,2023-06-30,421,1567.465,1095,0.3926940639,True,included
102900005115960,大白菜,花叶类,917,2020-07-01,2023-06-30,480,19196.094,1095,0.8374429224,True,included
102900005115977,豌豆尖,花叶类,45,2020-11-21,2023-03-02,39,85.048,832,0.05408653846,False,sales_days<180;coverage<0.35;total_qty<200
102900005115984,云南油麦菜,花叶类,798,2020-07-01,2023-06-27,782,10309.079,1092,0.7307692308,True,included
102900005116639,马齿苋,花叶类,100,2021-03-09,2023-06-12,93,94.567,826,0.1210653753,False,sales_days<180;coverage<0.35;total_qty<200
102900005116776,本地菠菜,花叶类,3,2021-04-18,2021-04-28,0,0,11,0.2727272727,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900005116790,黄心菜(1),花叶类,743,2020-07-01,2023-04-15,447,2918.477,1019,0.7291462218,True,included
102900005116806,黑油菜,花叶类,32,2021-06-10,2022-12-19,27,101.125,558,0.05734767025,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900005118572,本地上海青,花叶类,67,2020-10-06,2022-11-06,61,596.697,762,0.08792650919,False,sales_days<180;coverage<0.35
102900005118817,菠菜,花叶类,761,2020-07-01,2023-06-30,730,5218.388,1095,0.6949771689,True,included
102900005118831,娃娃菜,花叶类,1084,2020-07-01,2023-06-30,688,9002,1095,0.9899543379,True,included
102900005119975,红薯尖,花叶类,581,2020-07-01,2023-06-30,567,5161.229,1095,0.5305936073,True,included
102900005122654,枝江红菜苔,花叶类,395,2020-10-26,2023-03-11,384,4962.956,867,0.4555940023,True,included
102900005128748,黄花菜,花叶类,6,2021-08-20,2023-05-13,6,1.784,632,0.009493670886,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011000175,快菜,花叶类,10,2020-08-04,2020-08-13,10,91.272,10,1,False,span<730;sales_days<180;total_qty<200
102900011000571,随州泡泡青,花叶类,145,2020-12-03,2023-02-18,142,675.221,808,0.1794554455,False,sales_days<180;coverage<0.35
102900011002414,田七,花叶类,161,2021-02-22,2023-06-03,96,45.252,832,0.1935096154,False,sales_days<180;coverage<0.35;total_qty<200
102900011006689,东门口小白菜,花叶类,466,2020-07-02,2022-05-19,435,1543.882,687,0.6783114993,False,span<730
102900011006948,外地茼蒿,花叶类,304,2020-07-01,2023-06-27,269,732.615,1092,0.2783882784,False,coverage<0.35
102900011006955,冰草,花叶类,98,2021-04-24,2022-10-25,17,16.337,550,0.1781818182,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011007464,紫苏,花叶类,86,2020-09-14,2023-06-10,84,30.172,1000,0.086,False,sales_days<180;coverage<0.35;total_qty<200
102900011007471,薄荷叶,花叶类,37,2021-03-31,2023-06-10,31,7.568,802,0.04613466334,False,sales_days<180;coverage<0.35;total_qty<200
102900011007495,蒲公英,花叶类,18,2021-08-16,2023-04-08,18,4.232,601,0.02995008319,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011008133,丝瓜尖,花叶类,23,2021-02-05,2023-03-07,19,14.227,761,0.03022339028,False,sales_days<180;coverage<0.35;total_qty<200
102900011008164,奶白菜,花叶类,795,2020-08-24,2023-06-30,762,5818.966,1041,0.7636887608,True,included
102900011008485,芥菜,花叶类,16,2021-06-23,2023-04-28,14,51.735,675,0.0237037037,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011008492,大芥兰,花叶类,3,2021-07-18,2021-07-21,2,7.48,4,0.75,False,span<730;sales_days<180;total_qty<200
102900011008515,面条菜,花叶类,33,2021-03-11,2023-04-03,33,12.936,754,0.04376657825,False,sales_days<180;coverage<0.35;total_qty<200
102900011008522,甜白菜,花叶类,507,2020-07-01,2023-06-27,340,4689.466,1092,0.4642857143,True,included
102900011008676,荠菜,花叶类,18,2020-11-09,2023-02-10,14,15.887,824,0.02184466019,False,sales_days<180;coverage<0.35;total_qty<200
102900011015384,马兰头,花叶类,14,2022-03-01,2022-04-14,14,3.39,45,0.3111111111,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011015391,甘蓝叶,花叶类,1,2021-03-11,2021-03-11,1,0.943,1,1,False,span<730;sales_days<180;total_qty<200
102900011021644,洪山菜苔,花叶类,11,2021-12-26,2022-11-12,11,25,322,0.03416149068,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011022849,本地黄心油菜,花叶类,121,2021-02-05,2023-01-10,115,1375.887,705,0.1716312057,False,span<730;sales_days<180;coverage<0.35
102900011022924,青菜苔,花叶类,3,2021-03-05,2021-03-07,3,30.275,3,1,False,span<730;sales_days<180;total_qty<200
102900011023464,小青菜(1),花叶类,509,2021-08-28,2023-06-30,492,3270.155,672,0.7574404762,False,span<730
102900011026502,鲜粽子叶,花叶类,8,2021-06-05,2021-06-13,8,6.32,9,0.8888888889,False,span<730;sales_days<180;total_qty<200
102900011026618,艾蒿,花叶类,5,2022-06-01,2023-06-22,4,10.512,387,0.01291989664,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011027462,奶白菜苗,花叶类,6,2021-07-21,2022-03-19,4,16.829,242,0.02479338843,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011027615,菊花油菜,花叶类,6,2021-07-18,2021-07-24,5,8.472,7,0.8571428571,False,span<730;sales_days<180;total_qty<200
102900011029688,双沟白菜,花叶类,137,2021-10-23,2022-11-25,2,2.886,399,0.343358396,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011030042,枝江红菜苔(份),花叶类,52,2021-12-17,2022-02-16,52,313,62,0.8387096774,False,span<730;sales_days<180
102900011030059,云南生菜(份),花叶类,406,2021-12-17,2023-06-30,400,14335,561,0.7237076649,False,span<730
102900011030097,云南油麦菜(份),花叶类,414,2021-12-16,2023-06-30,410,8856,562,0.7366548043,False,span<730
102900011030103,茼蒿(份),花叶类,83,2021-12-16,2022-03-20,83,587,95,0.8736842105,False,span<730;sales_days<180
102900011030110,菠菜(份),花叶类,393,2021-12-16,2023-06-30,386,6348,562,0.6992882562,False,span<730
102900011030134,菜心(份),花叶类,283,2021-12-16,2023-03-09,275,2053,449,0.6302895323,False,span<730
102900011030141,上海青(份),花叶类,294,2021-12-16,2023-02-22,287,3071,434,0.6774193548,False,span<730
102900011030158,小青菜(2),花叶类,71,2021-12-16,2022-10-24,46,296,313,0.2268370607,False,span<730;sales_days<180;coverage<0.35
102900011030400,洪山菜薹珍品手提袋,花叶类,1,2023-01-07,2023-01-07,1,3,1,1,False,span<730;sales_days<180;total_qty<200
102900011030417,洪山菜薹莲藕拼装礼盒,花叶类,3,2023-01-11,2023-01-23,3,3,13,0.2307692308,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011030905,鱼腥草(份),花叶类,140,2022-08-29,2023-04-17,130,470,232,0.6034482759,False,span<730;sales_days<180
102900011031216,冰草(盒),花叶类,46,2022-02-23,2023-06-25,23,29,488,0.09426229508,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011032176,紫苏(份),花叶类,33,2022-02-25,2022-07-02,33,40,128,0.2578125,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011032282,襄甜红菜苔(袋),花叶类,7,2022-01-24,2022-02-05,7,41,13,0.5384615385,False,span<730;sales_days<180;total_qty<200
102900011032480,白蒿,花叶类,14,2023-02-15,2023-03-23,14,2.224,37,0.3783783784,False,span<730;sales_days<180;total_qty<200
102900011032589,鱼腥草,花叶类,31,2022-03-13,2022-04-27,31,28.601,46,0.6739130435,False,span<730;sales_days<180;total_qty<200
102900011032787,竹叶菜(份),花叶类,79,2022-03-13,2022-09-03,77,1077,175,0.4514285714,False,span<730;sales_days<180
102900011033081,春菜,花叶类,28,2022-03-24,2022-05-01,22,24.996,39,0.7179487179,False,span<730;sales_days<180;total_qty<200
102900011033173,槐花,花叶类,31,2022-04-16,2023-05-17,20,9.3,397,0.07808564232,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011033234,红薯尖(份),花叶类,60,2022-03-28,2022-09-08,58,727,165,0.3636363636,False,span<730;sales_days<180
102900011033241,蔡甸藜蒿(份),花叶类,16,2022-03-28,2022-09-20,16,65,177,0.09039548023,False,span<730;sales_days<180;coverage<0.35;total_qty<200
102900011033531,红珊瑚(粗叶),花叶类,9,2022-04-09,2022-04-17,1,0.682,9,1,False,span<730;sales_days<180;total_qty<200
102900011033562,红橡叶,花叶类,6,2022-04-08,2022-04-16,1,0.419,9,0.6666666667,False,span<730;sales_days<180;total_qty<200
102900011033586,绿牛油,花叶类,9,2022-04-08,2022-04-16,1,1.153,9,1,False,span<730;sales_days<180;total_qty<200
102900011033906,保康高山大白菜,花叶类,209,2022-04-16,2023-02-13,200,6501.052,304,0.6875,False,span<730
102900011033920,黄心菜(2),花叶类,230,2022-04-17,2023-06-22,223,1883.243,432,0.5324074074,False,span<730
102900011034200,苋菜(份),花叶类,60,2022-04-16,2022-11-08,56,426,207,0.2898550725,False,span<730;sales_days<180;coverage<0.35
102900011034217,小白菜(份),花叶类,48,2022-04-18,2022-09-18,47,342,154,0.3116883117,False,span<730;sales_days<180;coverage<0.35
102900011034224,小青菜(份),花叶类,188,2022-04-18,2023-04-16,179,4059,364,0.5164835165,False,span<730;sales_days<180
102900011034231,奶白菜(份),花叶类,250,2022-04-16,2023-05-10,244,6935,390,0.641025641,False,span<730
102900011034316,芝麻苋菜,花叶类,1,2022-05-19,2022-05-19,1,9.381,1,1,False,span<730;sales_days<180;total_qty<200
102900011034323,鲜粽叶,花叶类,9,2022-05-22,2022-06-01,9,6.009,11,0.8181818182,False,span<730;sales_days<180;total_qty<200
102900011034354,鲜粽叶(袋)(1),花叶类,7,2022-05-27,2022-06-09,7,200,14,0.5,False,span<730;sales_days<180
102900011035481,外地茼蒿(份),花叶类,24,2022-09-08,2022-10-08,22,127,31,0.7741935484,False,span<730;sales_days<180;total_qty<200
102900011035764,龙牙菜,花叶类,66,2022-10-15,2023-02-08,63,186.831,117,0.5641025641,False,span<730;sales_days<180;total_qty<200
