community_id,node_count,member_names,category_composition
1,6,洪湖莲藕(粉藕)、黄心菜(1)、大白菜、奶白菜、娃娃菜、茼蒿,水生根茎类:1、花叶类:5
2,3,海鲜菇(1)、姬菇(1)、长线茄,茄类:1、食用菌:2
3,3,枝江红菜苔、灯笼椒(1)、小米椒,花叶类:1、辣椒类:2
4,1,净藕(1),水生根茎类:1
5,1,高瓜(1),水生根茎类:1
6,1,苋菜,花叶类:1
7,1,云南生菜,花叶类:1
8,1,竹叶菜,花叶类:1
9,1,小白菜,花叶类:1
10,1,上海青,花叶类:1
11,1,菜心,花叶类:1
12,1,木耳菜,花叶类:1
13,1,云南油麦菜,花叶类:1
14,1,菠菜,花叶类:1
15,1,红薯尖,花叶类:1
16,1,甜白菜,花叶类:1
17,1,黄白菜(2),花叶类:1
18,1,西兰花,花菜类:1
19,1,青梗散花,花菜类:1
20,1,紫茄子(2),茄类:1
21,1,青茄子(1),茄类:1
22,1,圆茄子(2),茄类:1
23,1,青尖椒,辣椒类:1
24,1,红椒(1),辣椒类:1
25,1,红杭椒,辣椒类:1
26,1,七彩椒(1),辣椒类:1
27,1,螺丝椒,辣椒类:1
28,1,红灯笼椒(1),辣椒类:1
29,1,芜湖青椒(1),辣椒类:1
30,1,青线椒,辣椒类:1
31,1,西峡香菇(1),食用菌:1
32,1,金针菇(1),食用菌:1
33,1,平菇,食用菌:1
34,1,杏鲍菇(1),食用菌:1
35,1,姬菇(包),食用菌:1
36,1,鲜木耳(1),食用菌:1
37,1,杏鲍菇(袋),食用菌:1
38,1,白玉菇(袋),食用菌:1
