source_code,target_code,spearman_raw,spearman_residual,mic_approx,mic_candidate,partial_corr,graphical_lasso_edge,bootstrap_active_rate,bootstrap_same_sign_rate,final_stable_edge,source_item_code,source_item_name,source_category_name,target_item_code,target_item_name,target_category_name,association_type
102900005116912,102900005119944,0.7405351018,0.7783580038,0.7543429658,True,0.312476114,True,1,1,True,102900005116912,姬菇(1),食用菌,102900005119944,海鲜菇(1),食用菌,潜在互补/同步
102900005119944,102900011022764,0.1007188079,-0.6642396096,0.7461337958,True,-0.1746002975,True,1,1,True,102900005119944,海鲜菇(1),食用菌,102900011022764,长线茄,茄类,潜在替代
102900005122654,102900005123880,0.02069210677,-0.5296976266,0.7088529402,True,-0.1197948473,True,1,1,True,102900005122654,枝江红菜苔,花叶类,102900005123880,灯笼椒(1),辣椒类,潜在替代
102900005116912,102900011022764,0.2295809825,-0.5943878886,0.902265865,True,-0.1157125077,True,1,1,True,102900005116912,姬菇(1),食用菌,102900011022764,长线茄,茄类,潜在替代
102900005116790,102900011021842,0.1475086895,0.7064579435,0.7528620972,True,0.1133701537,True,0.98,0.98,True,102900005116790,黄心菜(1),花叶类,102900011021842,洪湖莲藕(粉藕),水生根茎类,潜在互补/同步
102900005115960,102900011021842,0.284882761,0.6599129119,0.8004242558,True,0.0847943832,True,0.98,0.98,True,102900005115960,大白菜,花叶类,102900011021842,洪湖莲藕(粉藕),水生根茎类,潜在互补/同步
102900011008164,102900011021842,-0.1083951039,-0.4447332258,0.7317970928,True,-0.07945463404,True,0.96,0.96,True,102900011008164,奶白菜,花叶类,102900011021842,洪湖莲藕(粉藕),水生根茎类,潜在替代
102900005118831,102900011021842,0.2969299122,0.6287532445,0.7280823395,True,0.07197032363,True,0.96,0.96,True,102900005118831,娃娃菜,花叶类,102900011021842,洪湖莲藕(粉藕),水生根茎类,潜在互补/同步
102900005115878,102900011021842,0.3195331882,0.3598624465,0.8868773648,True,0.06065849405,True,0.79,0.79,True,102900005115878,茼蒿,花叶类,102900011021842,洪湖莲藕(粉藕),水生根茎类,潜在互补/同步
102900005122654,102900005125808,0.005530445712,0.1777651749,0.7544926705,True,0.05559474558,True,0.72,0.72,True,102900005122654,枝江红菜苔,花叶类,102900005125808,小米椒,辣椒类,潜在互补/同步
