item_code,item_name,category_name,degree,weighted_degree,betweenness,community_id,core_rank,is_core_node
102900005119944,海鲜菇(1),食用菌,2,0.4870764115,0,2,1,True
102900005116912,姬菇(1),食用菌,2,0.4281886217,0,2,2,True
102900011021842,洪湖莲藕(粉藕),水生根茎类,5,0.4102479886,0.009661835749,1,3,True
102900011022764,长线茄,茄类,2,0.2903128052,0,2,4,True
102900005122654,枝江红菜苔,花叶类,2,0.1753895928,0.0009661835749,3,5,True
102900005123880,灯笼椒(1),辣椒类,1,0.1197948473,0,3,6,True
102900005116790,黄心菜(1),花叶类,1,0.1133701537,0,1,7,True
102900005115960,大白菜,花叶类,1,0.0847943832,0,1,8,True
102900011008164,奶白菜,花叶类,1,0.07945463404,0,1,9,True
102900005118831,娃娃菜,花叶类,1,0.07197032363,0,1,10,True
102900005115878,茼蒿,花叶类,1,0.06065849405,0,1,11,False
102900005125808,小米椒,辣椒类,1,0.05559474558,0,3,12,False
102900005115762,苋菜,花叶类,0,0,0,6,13,False
102900005115779,云南生菜,花叶类,0,0,0,7,14,False
102900005115786,竹叶菜,花叶类,0,0,0,8,15,False
102900005115793,小白菜,花叶类,0,0,0,9,16,False
102900005115823,上海青,花叶类,0,0,0,10,17,False
102900005115908,菜心,花叶类,0,0,0,11,18,False
102900005115946,木耳菜,花叶类,0,0,0,12,19,False
102900005115984,云南油麦菜,花叶类,0,0,0,13,20,False
102900005116226,青尖椒,辣椒类,0,0,0,23,21,False
102900005116233,红椒(1),辣椒类,0,0,0,24,22,False
102900005116257,紫茄子(2),茄类,0,0,0,20,23,False
102900005116509,青茄子(1),茄类,0,0,0,21,24,False
102900005116530,西峡香菇(1),食用菌,0,0,0,31,25,False
102900005116547,金针菇(1),食用菌,0,0,0,32,26,False
102900005116714,西兰花,花菜类,0,0,0,18,27,False
102900005116837,平菇,食用菌,0,0,0,33,28,False
102900005116899,净藕(1),水生根茎类,0,0,0,4,29,False
102900005116943,红杭椒,辣椒类,0,0,0,25,30,False
102900005117209,七彩椒(1),辣椒类,0,0,0,26,31,False
102900005118817,菠菜,花叶类,0,0,0,14,32,False
102900005118824,高瓜(1),水生根茎类,0,0,0,5,33,False
102900005119975,红薯尖,花叶类,0,0,0,15,34,False
102900005125815,杏鲍菇(1),食用菌,0,0,0,34,35,False
102900011000328,螺丝椒,辣椒类,0,0,0,27,36,False
102900011001219,红灯笼椒(1),辣椒类,0,0,0,28,37,False
102900011001806,姬菇(包),食用菌,0,0,0,35,38,False
102900011008522,甜白菜,花叶类,0,0,0,16,39,False
102900011009246,鲜木耳(1),食用菌,0,0,0,36,40,False
102900011009970,青梗散花,花菜类,0,0,0,19,41,False
102900011012994,杏鲍菇(袋),食用菌,0,0,0,37,42,False
102900011013274,白玉菇(袋),食用菌,0,0,0,38,43,False
102900011016701,芜湖青椒(1),辣椒类,0,0,0,29,44,False
102900051000463,圆茄子(2),茄类,0,0,0,22,45,False
102900051004294,青线椒,辣椒类,0,0,0,30,46,False
102900051010455,黄白菜(2),花叶类,0,0,0,17,47,False
